game_id,max_players,max_playtime,min_age,min_players,min_playtime,name,playing_time,year_published,artist,category,compilation,designer,expansion,family,publisher,average_rating,users_rated
175293,2,45,8,2,30,Trambahn,45,2015,Klemens Franz,"Card Game,Trains,Transportation",,Helmut Ohley,,Lookout Games Fur Zwei Spieler Series,"Funforge,Game Harbor,Hobby Japan,Lookout Games,Mayfair Games,SD Games",7.12493,1047
175307,4,0,10,2,0,Adventure Time Love Letter,0,2015,,"Bluffing,Card Game,Deduction",AEG Black Friday Black Box 2015,Seiji Kanai,,"AEG: 5 Minute Fun,AEG: Big in Japan,AEG: Pocket Game,Love Letter,TV Series: Adventure Time","Alderac Entertainment Group (AEG),Cryptozoic Entertainment",7.37389,893
175334,4,120,14,2,60,The Undercity: An Iron Kingdoms Adventure Board Game,120,2015,Michael Jenkins,"Adventure,Exploration,Fantasy,Fighting,Miniatures",,"David Carl,Will Schoonover",The Undercity: Black River Irregulars,"Campaign Games,Warmachine","Heidelberger Spieleverlag,Privateer Press,Ulisses Spiele",7.34302,199
175360,2,20,14,2,15,W1815,20,2015,Kim Paqvalin,"Napoleonic,Wargame",,Hannu Uusitalo,,"Country: Belgium,Napoleon At Waterloo",U&P Games,7.58876,347
175458,5,15,8,2,15,Bad Beets,15,2015,Liz Nugent,"Bluffing,Card Game",,Justin Gary,,,Stone Blade Entertainment,5.91023,218
175495,6,30,8,2,30,Titan Race,30,2015,Jean-Baptiste Reynaud,"Dice,Fantasy,Racing",,Julian Allain,,,"Funforge,REBEL.pl",6.38844,313
175510,4,45,0,2,30,Soulfall,45,2015,Sandro Rybak,"Card Game,Territory Building",,John Clowdus,,Crowdfunding: Kickstarter,"(Web published),Small Box Games",6.52425,174
175512,4,0,10,2,30,A Chaotic Life!,0,2015,,"Card Game,Humor",,,,Crowdfunding: Kickstarter,GrubTon Games,3.20615,122
175516,6,60,10,2,45,MoonQuake Escape,60,2016,Michael Parla,"Bluffing,Card Game,Science Fiction",,Jeff Johnston (II),"MoonQuake Escape: Access Card,MoonQuake Escape: Mug Shots!!!",,Breaking Games,7.0463,54
175541,4,45,13,2,15,Cuisine a la Card,45,2016,"Dani Demarest,Sarah Drake",Card Game,,Dani Demarest,,"Crowdfunding: Kickstarter,Food / Cooking",InMotion,7.15404,104
175549,12,35,12,4,25,Salem,35,2015,Sarah Keele,"Bluffing,Card Game,Deduction,Print & Play",,Travis Hancock,,"Crowdfunding: Kickstarter,States: Massachusetts,Werewolf / Mafia","(Web published),Facade Games",7.02724,387
175592,6,90,13,1,90,The Village Crone,90,2015,,Fantasy,,Anne-Marie De Witt,,,Fireside Games,6.04299,207
